location,titles,language Version
Great Wall,"""The Great Wall during the Spring and Autumn Period (770 BC - 221 BC)"",",Chinese
Great Wall,"""The Great Wall during the Sui Dynasty"",",Chinese
Great Wall,"""The Great Wall during the Tang Dynasty"",",Chinese
Great Wall,"""The Great Wall in Modern Times"",",Chinese
Great Wall,"""Famous Sections of the Great Wall"",",Chinese
Great Wall,"""Challenges and Controversies in the Preservation of the Great Wall"",",Chinese
Great Wall,"""The Great Wall in Popular Culture"",",Chinese
Great Wall,"""Future of the Great Wall""",Chinese
Mount Fuji ,"""Mount Fuji's Impact on Local Water Systems"",",Chinese
Mount Fuji ,"""Mount Fuji's Peaks: A Closer Look"",",Chinese
Mount Fuji ,"""Mount Fuji's Influence on New Religious Movements"",",Chinese
Mount Fuji ,"""Mount Fuji in Ancient Texts and Records"",",Chinese
Mount Fuji ,"""Mount Fuji's Depiction in Ukiyo-e Art"",",Chinese
Mount Fuji ,"""Mount Fuji and Its Connection to Shintoism"",",Chinese
Mount Fuji ,"""Mount Fuji: A Source of Inspiration for Japanese Literature"",",Chinese
Mount Fuji ,"""Mount Fuji's Parasitic Volcano: Houeizan"",",Chinese
Mount Fuji ,"""Mount Fuji's Impact on Local Ecosystems"",",Chinese
Mount Fuji ,"""Mount Fuji's Influence on Japanese Folklore and Legends"",",Chinese
Mount Fuji ,"""Mount Fuji and Its Role in Japanese National Identity"",",Chinese
Mount Fuji ,"""Mount Fuji's Connection to the Japanese Imperial Lineage"",",Chinese
Mount Fuji ,"""Mount Fuji: A Destination for Pilgrimage and Worship"",",Chinese
Mount Fuji ,"""Mount Fuji's Role in Japanese Poetry and Song"",",Chinese
Mount Fuji ,"""Mount Fuji's Influence on Japanese Landscape Painting"",",Chinese
Mount Fuji ,"""Mount Fuji and Its Connection to Japanese Mythology"",",Chinese
Mount Fuji ,"""Mount Fuji: A Symbol of Permanence and Change in Japanese Culture"",",Chinese
Mount Fuji ,"""Mount Fuji's Role in Japanese Environmental Conservation"",",Chinese
Mount Fuji ,"""Mount Fuji: A Site of Geological Interest""",Chinese
Cologne Cathedral,"""Architectural Specifications: Dimensions and Design"",",Chinese
Cologne Cathedral,"""Construction Timeline: Interruptions and Resumptions"",",Chinese
